Name,Interaction,Quality,Attack,Defense,Trait 1,Trait 2,Trait 3,Trait 4,Trait 5,Trait 6,Points,,Attack multiplier,5,,Trait 1,Trait 2,Trait 3,Trait 4,Trait 5,Trait 6,,defense,Trait 1,Trait 2,Trait 3,Trait 4,Trait 5,Trait 6,df,,Trait 1,Trait 2,Trait 3,Trait 4,Trait 5,Trait 6
Elf Orcslayers,25,4,2,6,"Slayers - L, R3",Shooters 2 - L,,,,,51,,,,,5,16,0,0,0,0,,6,1,1,1,1,1,1,6,,5,16,0,0,0,0
Fae Host,15,4,1,5,Rabble,Shooters 1 - L,Poisoned Missiles L,Difficult Target,Skirmishers,,33,,,,,-14,10,4,5,5,0,,3,1,1,"1,5",1,1,1,"4,5",,-14,10,0,5,5,0
Fae Procession,32,4,1,7,"Monster Level 1 - L, R3",Spell-Caster - P,Spell: Chaos,Spell: Curse,Forester,,65,,,,,10,10,8,5,5,0,,7,1,1,1,1,1,1,7,,10,10,8,5,5,0
Fae Hunt,39,4,1,7,"Monster Level 2 - L, R3",Spell-Caster - P,Spell: Chaos,Spell: Curse,Forester,,86,,,,,35,10,8,5,5,0,,7,1,1,1,1,1,1,7,,35,10,8,5,5,0
Fae Dragon,73,3,1,7,"Monster Level 3 - L, R3",Spell-Caster - P,Spell: Chaos,Spell: Terror,Flying - L,Dragon Breath level 3 – R2,247,Extra Lives x3 - L,,,,60,10,8,6,18,80,,7,1,1,1,1,1,1,7,,60,10,8,6,18,80
Minor Fae Dragon,#DIV/0!,3,1,6,"Monster Level 2 - L, R3",Spell-Caster - P,Spell: Chaos,Spell: Terror,Flying - L,Dragon Breath level 2 - R3,169,Extra Lives x2 - L,,,,35,10,8,6,18,40,,6,1,1,1,1,1,1,6,,35,10,8,6,18,40
Fae Queen,44,3,2,6,Gaze Attack Level 3 - P,"General – P, R1",Spell-Caster - P,Spell: Blessing,Spell: Chaos,"Teleport - L, R1",119,,,,,25,12,10,4,8,8,,6,1,1,1,1,1,1,6,,25,12,10,4,8,8
Greater Treeman,67,5,3,8,Tough - L,Giant Level 2 - L,Forester,Slow,Extra Lives x3 - L,,81,,,,,24,22,5,-1,40,0,,8,1,1,1,1,4,1,32,,24,22,5,-1,0,0
Minor Treeman,47,5,2,7,Resilient - L,Giant Level 2 - L,Forester,Slow,Extra Lives x2 - L,,57,,,,,12,22,5,-1,20,0,,7,1,1,1,1,3,1,21,,12,22,5,-1,0,0
Unicorn Rider,69,3,3,7,Hero - P,Fast,Extra Lives x3 - L,Forester,Mounted – L,,126,,,,,8,4,40,5,6,0,,7,1,1,4,1,1,1,28,,8,4,0,5,6,0
Elven Avenger,25,3,2,6,"Assassin Level 1 - P, R3",Difficult Target,,,,,58,,,,,7,5,0,0,0,0,,6,1,1,1,1,1,1,6,,7,5,0,0,0,0
Elven Apprentice Wizard,17,4,1,5,Spell-Caster - P,Spell: Alter Terrain,Spell: Destroy Undead,Spell: Rain of Arrows,,,44,,,,,10,5,3,5,0,0,,3,1,1,1,1,1,1,3,,10,5,3,5,0,0
Elven Spellblade,#DIV/0!,3,3,7,Spell-Caster - P,Spell: Terror,Spell: Lightning Bolt,Spell: Rain of Arrows,Extra Lives x3 - L,,130,,,,,10,6,6,5,40,0,,7,1,1,1,1,4,1,28,,10,6,6,5,0,0
Elven Wizard,35,3,2,6,Spell-Caster - P,Spell: Alter Terrain,Spell: Destroy Undead,Spell: Rain of Arrows,Spell: Meteor Storm,Spell: Teleportation,83,,,,,10,5,3,5,4,8,,6,1,1,1,1,1,1,6,,10,5,3,5,4,8
Elven Witch,31,3,1,6,Spell-Caster - P,Spell: Teleportation,Spell: Curse,Spell: Lightning Bolt,,,71,,,,,10,8,5,6,0,0,,6,1,1,1,1,1,1,6,,10,8,5,6,0,0
Armored Bears,28,4,2,7,Animal,Tough - L,,,,,56,,,,,-2,24,0,0,0,0,,7,1,1,1,1,1,1,7,,-2,24,0,0,0,0
Dragon Rider,,3,3,8,Dragon Breath level 3 – R2,Flying - L,Fast,Extra Lives x4 - P,Resilient - L,,61,,,,,,,,,,,,,,,,,,,,,,,,,,
The Wild Hunt,27,3,2,6,Ambushers - L,Fear,,,,,62,,,,,3,13,0,0,0,0,,6,1,1,1,1,1,1,6,,3,13,0,0,0,0
Snow Elves,12,4,1,5,Skirmishers,Snow-Walk,,,,,31,,,,,5,2,0,0,0,0,,3,1,1,1,1,1,1,3,,5,2,0,0,0,0
Snow Elf Archers,17,4,1,5,Skirmishers,Snow-Walk,Shooters 2 - L,,,,44,,,,,5,2,16,0,0,0,,3,1,1,1,1,1,1,3,,5,2,16,0,0,0
Elf Acrobat,28,3,2,6,Hero - P,Fast,Difficult Target,,,,63,,,,,8,4,5,0,0,0,,6,1,1,1,1,1,1,6,,8,4,5,0,0,0
Giant Eagle Riders,34,3,2,7,Flying - L,Fast,Scout - R4,,,,80,,,,,18,4,5,0,0,0,,7,1,1,1,1,1,1,7,,18,4,5,0,0,0
Warhawk Riders,#DIV/0!,4,2,6,Flying - L,Fast,Scout - R4,Difficult Target,,,60,,,,,18,4,5,5,0,0,,6,1,1,1,1,1,1,6,,18,4,5,5,0,0
Griffin Rider,#DIV/0!,3,2,7,Flying - L,Fast,Resilient - L,,,,88,,,,,18,4,12,0,0,0,,7,1,1,1,1,1,1,7,,18,4,12,0,0,0
Water Elemental,58,4,3,8,Amphibious,Extra Lives x4 - P,"Monster Level 2 - L, R3",,,,144,,,,,3,80,35,0,0,0,,8,1,1,1,1,1,1,8,,3,80,35,0,0,0
Air Elemental,,3,3,8,"Immaterial - L, R2","Monster Level 3 - L, R3",Fast,,,,61,,,,,,,,,,,,,,,,,,,,,,,,,,
Wood Elf Archers,#DIV/0!,4,1,5,Shooters 2 - L,Forester,,,,,43,,,,,16,5,0,0,0,0,,3,1,1,1,1,1,1,3,,16,5,0,0,0,0
Wood Elf Shaman,#DIV/0!,3,1,5,Spell-Caster - P,Spell: Alter Terrain,Spell: Eagle's Eyes,Spell: Fury,Spell: Summon Monster,,73,,,,,10,5,3,8,10,0,,3,1,1,1,1,1,1,3,,10,5,3,8,10,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOBLINS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goblin Skirmishers,9,4,0,5,Skirmishers,,,,,,25,,,,,5,0,0,0,0,0,,3,1,1,1,1,1,1,3,,5,0,0,0,0,0
Goblin Swashbucklers,12,4,1,5,Skirmishers,,,,,,29,,,,,5,0,0,0,0,0,,3,1,1,1,1,1,1,3,,5,0,0,0,0,0
Goblin Rabble,#NUM!,4,0,4,Skirmishers,Rabble,,,,,9,,,,,5,-14,0,0,0,0,,2,1,1,1,1,1,1,2,,5,-14,0,0,0,0
Goblin Braves,13,4,1,5,Elan - L,Horde,,,,,33,,,,,9,1,0,0,0,0,,3,1,1,1,1,1,1,3,,9,1,0,0,0,0
Goblin Wolf Riders,19,4,1,6,Mounted – L,Fast,,,,,38,,Alt Divisor,1,,6,4,0,0,0,0,,6,1,1,1,1,1,1,6,,6,4,0,0,0,0
Elite Goblin Wolf Riders,22,3,1,6,Mounted – L,Fast,,,,,50,,Alt Divisor,1,,6,4,0,0,0,0,,6,1,1,1,1,1,1,6,,6,4,0,0,0,0
Goblin Wolf Riders Archers,23,4,1,6,Mounted – L,Fast,Shooters 1 - L,,,,46,,,,,6,4,10,0,0,0,,6,1,1,1,1,1,1,6,,6,4,10,0,0,0
Goblin Spider Riders,21,4,2,6,Mounted – L,Ambushers - L,,,,,41,,Alt Adder,5,,6,3,0,0,0,0,,6,1,1,1,1,1,1,6,,6,3,0,0,0,0
Goblin Zealots,26,3,2,6,"Berserk - L, R3",Steadfast,Horde,,,,60,,,,,8,5,1,0,0,0,,6,1,1,1,1,1,1,6,,8,5,1,0,0,0
Goblin Elite Spider Riders,28,3,2,6,Mounted – L,Ambushers - L,Poison/Venom - L,,,,63,,Alt Factor,5,,6,3,8,0,0,0,,6,1,1,1,1,1,1,6,,6,3,8,0,0,0
Goblin Poisoners,5,4,1,6,Shooters 0 - L,Poisoned Missiles L,Rabble,,,,25,,,,,5,4,-14,0,0,0,,6,1,"1,5",1,1,1,1,9,,5,0,-14,0,0,0
 Elite Goblin Poisoners,23,4,1,6,Shooters 1 - L,Poisoned Missiles L,,,,,41,,,,,10,4,0,0,0,0,,6,1,"1,5",1,1,1,1,9,,10,0,0,0,0,0
Goblin Elfslayers,13,4,1,5,Forester,"Slayers - L, R3",,,,,33,,,,,5,5,0,0,0,0,,3,1,1,1,1,1,1,3,,5,5,0,0,0,0
Bugbear Raiders,,4,2,6,Horde,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,
Bugbear Bersekers,,4,2,6,"Berserk - L, R3",Horde,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,
Desert Goblin Slingers,6,4,1,5,Desert-Walk,Shooters 0 - L,Rabble,,,,20,,,,,3,5,-14,0,0,0,,3,1,1,1,1,1,1,3,,3,5,-14,0,0,0
Desert Goblins,11,4,1,5,Desert-Walk,,,,,,28,,,,,3,0,0,0,0,0,,3,1,1,1,1,1,1,3,,3,0,0,0,0,0
Forest Goblins,7,4,1,5,Forester,Shooters 0 - L,Rabble,,,,22,,,,,5,5,-14,0,0,0,,3,1,1,1,1,1,1,3,,5,5,-14,0,0,0
Mountain Goblins,11,4,1,5,Mountaineer,,,,,,28,,,,,3,0,0,0,0,0,,3,1,1,1,1,1,1,3,,3,0,0,0,0,0
Mountain Goblin Slingers,13,4,1,5,Mountaineer,Shooters 0 - L,,,,,32,,,,,3,5,0,0,0,0,,3,1,1,1,1,1,1,3,,3,5,0,0,0,0
Lesser Goblins,12,4,1,5,Coward,"Expendable - L, R4",,,,,23,,,,,-2,0,0,0,0,0,,3,1,2,1,1,1,1,6,,-2,0,0,0,0,0
Immature Lesser Goblins,#NUM!,4,1,5,Coward,"Expendable - L, R4",Rabble,,,,12,,,,,-2,0,-14,0,0,0,,3,1,2,1,1,1,1,6,,-2,0,-14,0,0,0
Lesser Goblin Veteran Archers,14,4,1,5,Coward,Fast,Shooters 1 - L,,,,35,,,,,-2,4,10,0,0,0,,3,1,1,1,1,1,1,3,,-2,4,10,0,0,0
Goblin Pikemen,11,4,1,5,Reluctant,Pikes,Slow,,,,28,,,,,-2,6,-1,0,0,0,,3,1,1,1,1,1,1,3,,-2,6,-1,0,0,0
Goblin Assassin,24,3,2,6,"Assassin Level 1 - P, R3",Stealth - P,,,,,56,,,,,7,3,0,0,0,0,,6,1,1,1,1,1,1,6,,7,3,0,0,0,0
Swamp Goblins,18,4,1,5,Ambushers - L,Swamp-Walk,Skirmishers,,,,34,,,,,3,3,5,0,0,0,,3,1,2,1,1,1,1,6,,3,0,5,0,0,0
Wild Goblins,23,4,2,6,Savage - L,Difficult Target,,,,,45,,,,,9,5,0,0,0,0,,6,1,1,1,1,1,1,6,,9,5,0,0,0,0
Wild Goblin Hero,52,3,2,6,Savage - L,Difficult Target,Hero - P,Extra Lives x2 - L,,,91,,,,,9,5,8,20,0,0,,6,1,1,1,3,1,1,18,,9,5,8,0,0,0
Goblin Cult Leader,#N/A,3,2,3,"Assassin Level 2 - P, R3","Discipline Master -P, R1",Extra Lives x2 - L,,,,74,,,,,14,8,20,0,0,0,,#N/A,1,1,3,1,1,1,#N/A,,14,8,0,0,0,0
Goblin Cultists,14,4,1,5,Fearless,Devastating Charge - L,Horde,,,,36,,,,,5,7,1,0,0,0,,3,1,1,1,1,1,1,3,,5,7,1,0,0,0
Goblin Cultists Shooters,12,4,0,5,Fearless,Shooters 0 - L,Horde,,,,30,,,,,5,5,1,0,0,0,,3,1,1,1,1,1,1,3,,5,5,1,0,0,0
Goblin Windriders,22,4,1,6,Flying - L,,,,,,44,,,,,18,0,0,0,0,0,,6,1,1,1,1,1,1,6,,18,0,0,0,0,0
Goblin Highwaymen,15,4,1,5,Highwaymen – R2,Skirmishers,Difficult Target,,,,38,,,,,5,5,5,0,0,0,,3,1,1,1,1,1,1,3,,5,5,5,0,0,0
Goblin Knights on Dodos,,4,2,7,Mounted – L,Devastating Charge - L,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,
Veteran Goblin Knights on Dodos,,3,2,7,Mounted – L,Devastating Charge - L,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,
Goblin King,,3,3,7,"General – P, R1",Extra Lives x3 - L,Resilient - L,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,
Goblin King's Guard,,4,2,7,Bodyguards - L,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,
Goblin Sappers,9,4,0,5,Engineers - L,,,,,,24,,,,,4,0,0,0,0,0,,3,1,1,1,1,1,1,3,,4,0,0,0,0,0
Goblin Veteran Sappers,15,3,1,5,Engineers - L,Difficult Target,,,,,43,,,,,4,5,0,0,0,0,,3,1,1,1,1,1,1,3,,4,5,0,0,0,0
Goblin Knights,20,3,2,7,Slow,,,,,,49,,,,,-1,0,0,0,0,0,,7,1,1,1,1,1,1,7,,-1,0,0,0,0,0
Goblin Ballista,13,4,1,4,Artillery level 2 – L,Coward,,,,,36,,,,,20,-2,0,0,0,0,,2,1,1,1,1,1,1,2,,20,-2,0,0,0,0
Goblin Catapult,21,4,1,5,Artillery level 3 - L,Coward,,,,,57,,,,,40,-2,0,0,0,0,,3,1,1,1,1,1,1,3,,40,-2,0,0,0,0
Goblin Stone Thrower ,16,4,1,5,Artillery level 2 – L,Coward,,,,,40,,,,,20,-2,0,0,0,0,,3,1,1,1,1,1,1,3,,20,-2,0,0,0,0
Goblin Cannon,28,4,1,5,Artillery level 4 – L,Coward,,,,,90,,,,,80,-2,0,0,0,0,,3,1,1,1,1,1,1,3,,80,-2,0,0,0,0
Goblin Cannon with Veteran Crew,33,3,1,5,Artillery level 4 – L,,,,,,122,,,,,80,0,0,0,0,0,,3,1,1,1,1,1,1,3,,80,0,0,0,0,0
Goblin Catapult with Firebombs,22,4,1,5,Artillery level 3 - L,Coward,Flaming Projectiles,,,,61,,,,,40,-2,5,0,0,0,,3,1,1,1,1,1,1,3,,40,-2,5,0,0,0
Goblin Beast Riders,26,4,2,7,Mounted – L,Resilient - L,,,,,53,,,,,6,12,0,0,0,0,,7,1,1,1,1,1,1,7,,6,12,0,0,0,0
Goblin War Giant,74,4,3,8,Giant Level 5- R1,Shooters 2 - L,Tough - L,Trample - L,Extra Lives x4 - P,,218,,,,,80,16,24,7,80,0,,8,1,1,1,1,1,1,8,,80,16,24,7,80,0
Lesser Hill Giant,56,4,2,7,Giant Level 2 - L,Extra Lives x3 - L,,,,,89,,,,,22,40,0,0,0,0,,7,1,4,1,1,1,1,28,,22,0,0,0,0,0
Lesser Hill Giant Throwing Stones,67,4,2,7,Giant Level 2 - L,Shooters 2 - L,Extra Lives x3 - L,,,,103,,,,,22,16,40,0,0,0,,7,1,1,4,1,1,1,28,,22,16,0,0,0,0
Goblin Chariot,23,4,2,5,Chariot level 2 - L,Fast,"Expendable - L, R4",Devastating Charge - L,,,42,,,,,4,4,0,7,0,0,,3,1,1,2,1,1,1,6,,4,4,0,7,0,0
Lesser Goblin Attack Contraption,17,4,1,5,Chariot level 2 - L,Shooters 1 - L,Devastating Charge - L,,,,43,,,,,4,10,7,0,0,0,,3,1,1,1,1,1,1,3,,4,10,7,0,0,0
Goblin Attack Wagon,#N/A,4,1,7,Chariot level 4 - L,Shooters 0 - L,Devastating Charge - L,Trample - L,Unreliable,Extra Lives x3 - L,89,,,,,10,5,7,7,-2,40,,7,#N/A,1,1,1,,4,#N/A,,#N/A,5,7,7,-2,0
Fungus Eaters,15,4,0,5,"Berserk - L, R3",Skirmishers,Devastating Charge - L,,,,38,,,,,8,5,7,0,0,0,,3,1,1,1,1,1,1,3,,8,5,7,0,0,0
Goblin Discipline Master,,3,1,6,"Discipline Master -P, R1",,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNDEAD   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skeleton Infantry,0,4,1,5,Undead,,,,,,28,,,,,4,0,0,0,0,0,,3,,1,1,1,1,1,0,,4,0,0,0,0,0
Rabble Skeletons,,4,1,4,Undead,Rabble,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,
Skeleton Armored Infantry,0,4,1,6,Undead,,,,,,33,,,,,4,0,0,0,0,0,,6,,1,1,1,1,1,0,,4,0,0,0,0,0
Skeleton Armored Infantry with Heavy Weapons,0,4,2,7,Undead,Slow,,,,,40,,,,,4,-1,0,0,0,0,,7,,1,1,1,1,1,0,,4,-1,0,0,0,0
Skeleton Archers,0,4,1,5,Shooters 1 - L,Undead,,,,,37,,,,,10,4,0,0,0,0,,3,1,,1,1,1,1,0,,10,4,0,0,0,0
Skeleton Slingers,0,4,1,5,Shooters 0 - L,Undead,,,,,33,,,,,5,4,0,0,0,0,,3,1,,1,1,1,1,0,,5,4,0,0,0,0
Skeleton Elite Archers,0,3,1,5,Shooters 2 - L,Undead,,,,,56,,,,,16,4,0,0,0,0,,3,1,,1,1,1,1,0,,16,4,0,0,0,0
Undead Walker,0,4,2,6,Undead,Slow,Nonreactive,Horde,,,27,,,,,4,-1,-12,1,0,0,,6,,1,1,1,1,1,0,,4,-1,-12,1,0,0
Zombie Infantry,0,4,2,6,Undead,Slow,Horde,,,,37,,,,,4,-1,1,0,0,0,,6,,1,1,1,1,1,0,,4,-1,1,0,0,0
Armored Zombies,0,4,2,6,Undead,Slow,Resilient - L,,,,46,,,,,4,-1,12,0,0,0,,6,,1,1,1,1,1,0,,4,-1,12,0,0,0
Ghouls,0,4,1,5,Undead,Poison/Venom - L,,,,,35,,,,,4,8,0,0,0,0,,3,,1,1,1,1,1,0,,4,8,0,0,0,0
Ghoul Lurkers,0,4,1,5,Undead,Poison/Venom - L,Ambushers - L,Skirmishers,,,42,,,,,4,8,3,5,0,0,,3,,1,1,1,1,1,0,,4,8,3,5,0,0
Zombie Master,0,3,3,7,Undead,"General – P, R1",Tough - L,Extra Lives x2 - L,,,122,,,,,4,12,24,20,0,0,,7,,1,1,3,1,1,0,,4,12,24,0,0,0
Zombie Rabble,0,4,1,5,Undead,Slow,Rabble,Horde,,,17,,,,,4,-1,-14,1,0,0,,3,,1,1,1,1,1,0,,4,-1,-14,1,0,0
Skeleton Pikemen,0,4,2,5,Undead,Pikes,,,,,38,,,,,4,6,0,0,0,0,,3,,1,1,1,1,1,0,,4,6,0,0,0,0
Skeleton Elite Pikemen,0,3,2,5,Undead,Pikes,,,,,50,,,,,4,6,0,0,0,0,,3,,1,1,1,1,1,0,,4,6,0,0,0,0
Skeleton Armored Pikemen,0,4,2,6,Undead,Pikes,,,,,42,,,,,4,6,0,0,0,0,,6,,1,1,1,1,1,0,,4,6,0,0,0,0
Skeleton Elite Armored Pikemen,0,3,2,6,Undead,Pikes,,,,,56,,,,,4,6,0,0,0,0,,6,,1,1,1,1,1,0,,4,6,0,0,0,0
Zombie Slingers,0,4,1,6,Undead,Slow,Shooters 0 - L,,,,36,,,,,4,-1,5,0,0,0,,6,,1,1,1,1,1,0,,4,-1,5,0,0,0
Skeleton Cavalry,0,4,2,6,Undead,Mounted – L,,,,,42,,,,,4,6,0,0,0,0,,6,,1,1,1,1,1,0,,4,6,0,0,0,0
Skeleton Heavy Cavalry,0,4,2,7,Undead,Mounted – L,,,,,46,,,,,4,6,0,0,0,0,,7,,1,1,1,1,1,0,,4,6,0,0,0,0
Skeleton Light Cavalry,0,4,2,6,Undead,Mounted – L,Fast,,,,45,,,,,4,6,4,0,0,0,,6,,1,1,1,1,1,0,,4,6,4,0,0,0
Skeleton Mounted Javelineers,0,4,2,6,Undead,Mounted – L,Fast,Shooters 0 - L,,,49,,,,,4,6,4,5,0,0,,6,,1,1,1,1,1,0,,4,6,4,5,0,0
Skeleton Mounted Archers,0,4,2,6,Undead,Mounted – L,Fast,Shooters 1 - L,,,53,,,,,4,6,4,10,0,0,,6,,1,1,1,1,1,0,,4,6,4,10,0,0
Skeleton Camel Riders,0,4,2,6,Undead,Mounted – L,Desert-Walk,,,,44,,,,,4,6,3,0,0,0,,6,,1,1,1,1,1,0,,4,6,3,0,0,0
Skeleton Camel Riders with Bows,0,4,2,6,Undead,Mounted – L,Desert-Walk,Shooters 1 - L,,,53,,,,,4,6,3,10,0,0,,6,,1,1,1,1,1,0,,4,6,3,10,0,0
Skeleton Desert Raiders,0,4,2,5,Undead,Desert-Walk,,,,,35,,,,,4,3,0,0,0,0,,3,,1,1,1,1,1,0,,4,3,0,0,0,0
Necromancer,23,3,1,5,Necromancer - P,Spell-Caster - P,Spell: Destroy Undead,Spell: Summon Monster,,,70,,,,,10,10,3,10,0,0,,3,1,1,1,1,1,1,3,,10,10,3,10,0,0
Necromancer General,65,3,1,6,Necromancer - P,"General – P, R1",Extra Lives x3 - L,Resilient - L,,,121,,,,,10,12,40,12,0,0,,6,1,1,4,1,1,1,24,,10,12,0,12,0,0
Skeletal Mammoth Carrying Archers,0,4,3,7,Undead,"Monster Level 3 - L, R3",Shooters 2 - L,Resilient - L,Extra Lives x4 - P,,185,,,,,4,60,16,12,80,0,,7,,1,1,1,1,1,0,,4,60,16,12,80,0
Zombie Dragon,0,4,4,7,Undead,"Monster Level 3 - L, R3",Dragon Breath level 2 - R3,Flying - L,Slow,Extra Lives x4 - P,213,,,,,4,60,40,18,-1,80,,7,,1,1,1,1,1,0,,4,60,40,18,-1,80
Skeletal Dragon,0,3,4,8,Undead,"Monster Level 3 - L, R3",Dragon Breath level 3 – R2,Flying - L,Extra Lives x3 - L,,291,,,,,4,60,80,18,40,0,,8,,1,1,1,4,1,0,,4,60,80,18,0,0
Minor Skeletal Dragon,0,4,4,7,Undead,"Monster Level 2 - L, R3",Dragon Breath level 2 - R3,Flying - L,Tough - L,,147,,,,,4,35,40,18,24,0,,7,,1,1,1,1,1,0,,4,35,40,18,24,0
Skeletal Giant,0,4,3,7,Undead,Giant Level 3- L,Extra Lives x2 - L,Resilient - L,,,101,,,,,4,35,20,12,0,0,,7,,1,3,1,1,1,0,,4,35,0,12,0,0
Zombie Giant,0,4,3,7,Undead,Giant Level 4- L,Slow,Extra Lives x3 - L,Tough - L,,143,,,,,4,55,-1,40,24,0,,7,,1,1,4,1,1,0,,4,55,-1,0,24,0
Undead Gorgon,0,3,2,6,Undead,Gaze Attack Level 2 - P,Poison/Venom - L,"Monster Level 2 - L, R3",,,114,,,,,4,16,8,35,0,0,,6,,1,1,1,1,1,0,,4,16,8,35,0,0
Undead Gorgon with Bow,0,3,2,6,Undead,Gaze Attack Level 2 - P,Poison/Venom - L,"Monster Level 2 - L, R3",Shooters 2 - L,,132,,,,,4,16,8,35,16,0,,6,,1,1,1,1,1,0,,4,16,8,35,16,0
Ghosts,0,4,1,5,Undead,"Immaterial - L, R2",Fear,Skirmishers,,,49,,,,,4,7,13,5,0,0,,3,,1,1,1,1,1,0,,4,7,13,5,0,0
Spectres,0,4,1,5,Undead,"Immaterial - L, R2",Ambushers - L,Skirmishers,,,41,,,,,4,7,3,5,0,0,,3,,1,1,1,1,1,0,,4,7,3,5,0,0
Wights,0,4,2,7,Undead,Horde,Devastating Charge - L,,,,48,,,,,4,1,7,0,0,0,,7,,1,1,1,1,1,0,,4,1,7,0,0,0
Mounted Wights,0,4,2,7,Undead,Mounted – L,Devastating Charge - L,,,,52,,,,,4,6,7,0,0,0,,7,,1,1,1,1,1,0,,4,6,7,0,0,0
Wraiths,0,4,2,7,Undead,Fear,Savage - L,,,,59,,,,,4,13,9,0,0,0,,7,,1,1,1,1,1,0,,4,13,9,0,0,0
Mounted Wraiths,0,4,2,7,Undead,Fear,Savage - L,Mounted – L,,,64,,,,,4,13,9,6,0,0,,7,,1,1,1,1,1,0,,4,13,9,6,0,0
Skeletal Minotaurs,0,4,2,6,Undead,Tough - L,Devastating Charge - L,,,,63,,,,,4,24,7,0,0,0,,6,,1,1,1,1,1,0,,4,24,7,0,0,0
Elite Skeletal Minotaurs,0,3,2,6,Undead,Tough - L,Devastating Charge - L,,,,83,,,,,4,24,7,0,0,0,,6,,1,1,1,1,1,0,,4,24,7,0,0,0
Bone Catapult,0,4,1,6,Artillery level 2 – L,Undead,,,,,49,,,,,20,4,0,0,0,0,,6,1,,1,1,1,1,0,,20,4,0,0,0,0
Greater Bone Catapult,0,4,1,6,Artillery level 3 - L,Undead,,,,,66,,,,,40,4,0,0,0,0,,6,1,,1,1,1,1,0,,40,4,0,0,0,0
Screaming Skull Shooter,0,4,1,6,Artillery level 4 – L,Flaming Projectiles,Undead,,,,103,,,,,80,5,4,0,0,0,,6,1,1,,1,1,1,0,,80,5,4,0,0,0
Zombie Thrower,0,4,1,6,Artillery level 4 – L,Plague Projectiles,Undead,,,,103,,,,,80,5,4,0,0,0,,6,1,1,,1,1,1,0,,80,5,4,0,0,0
Ghost Thrower,#N/A,4,1,6,Artillery level 2 – L,Fear Projectiles,Undead,,,,56,,,,,20,8,4,0,0,0,,6,1,#N/A,,1,1,1,#N/A,,20,#N/A,4,0,0,0
Death Altar,0,4,2,6,Siege Engine Level 3 – L,Undead,,,,,54,,,,,21,4,0,0,0,0,,6,1,,1,1,1,1,0,,21,4,0,0,0,0
Skeletal Ogres,0,4,2,6,Tough - L,Undead,,,,,57,,,,,24,4,0,0,0,0,,6,1,,1,1,1,1,0,,24,4,0,0,0,0
Vampire Knights,0,3,2,7,Tough - L,Undead,Ambushers - L,Vampire,,,91,,,,,24,4,3,6,0,0,,7,1,,1,,1,1,0,,24,4,3,6,0,0
Minor Vampires,0,4,1,6,Tough - L,Undead,Vampire,,,,58,,,,,24,4,6,0,0,0,,6,1,,,1,1,1,0,,24,4,6,0,0,0
Vampire Thralls ,,4,1,5,Coward,Rabble,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,
Vampire Bats,,4,1,5,Flying - L,Rabble,Vampire,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,
Werewolves,27,4,2,6,Forester,Resilient - L,Savage - L,,,,55,,,,,5,12,9,0,0,0,,6,1,1,1,1,1,1,6,,5,12,9,0,0,0
Undead Chariot,#N/A,4,2,6,Chariot - L,Undead,Fast,,,,43,,,,,4,4,4,0,0,0,,6,#N/A,,1,1,1,1,#N/A,,#N/A,4,4,0,0,0
Undead Hounds,0,4,2,5,Undead,Horde,Fast,,,,37,,,,,4,1,4,0,0,0,,3,,1,1,1,1,1,0,,4,1,4,0,0,0
Pack of Wolves,13,4,2,5,Animal,Forester,Horde,,,,33,,,,,-2,5,1,0,0,0,,3,1,1,1,1,1,1,3,,-2,5,1,0,0,0
Giant Bats,16,4,1,5,Flying - L,Animal,Horde,,,,39,,,,,18,-2,1,0,0,0,,3,1,1,1,1,1,1,3,,18,-2,1,0,0,0
Minor mummies,0,4,2,7,Undead,Resilient - L,Desert-Walk,,,,53,,,,,4,12,3,0,0,0,,7,,1,1,1,1,1,0,,4,12,3,0,0,0
Mummies,0,4,2,7,Undead,Tough - L,Desert-Walk,Fear,Steadfast,,78,,,,,4,24,3,13,5,0,,7,,1,1,1,1,1,0,,4,24,3,13,5,0
Greater Mummy,0,3,3,8,Undead,Tough - L,Desert-Walk,Fear,Extra Lives x3 - L,,154,,,,,4,24,3,13,40,0,,8,,1,1,1,4,1,0,,4,24,3,13,0,0
